,pe-1-4-0,pe-1-2-2,pe-1-1-3,pe-1-3-1,pe-1-0-4,Time,AF
592,9,23,30,9,34,14.467253176930596,5
593,5,28,23,10,36,14.491691104594329,4
594,8,28,29,16,37,14.516129032258064,3
595,7,20,22,13,35,14.540566959921797,7
596,6,24,31,15,40,14.565004887585532,7
597,4,19,28,15,39,14.589442815249265,6
598,8,20,24,12,34,14.613880742913,11
599,4,39,24,12,30,14.638318670576735,8
600,6,29,30,14,30,14.662756598240469,6
601,12,33,27,9,39,14.687194525904204,15
602,11,25,23,15,33,14.711632453567937,8
603,7,41,32,11,38,14.736070381231672,11
604,11,25,32,19,29,14.760508308895405,4
605,12,25,30,12,30,14.78494623655914,6
606,5,28,37,15,43,14.809384164222873,7
607,6,22,27,12,43,14.833822091886608,10
608,11,30,35,11,30,14.858260019550341,14
609,9,25,25,15,39,14.882697947214076,15
610,9,19,28,16,30,14.90713587487781,9
611,10,25,23,13,41,14.931573802541545,6
612,12,26,20,12,35,14.956011730205278,10
